therapistID,exerciseID,instruction_step,correct,truth
P15,3,7,1,0
P15,3,8,1,0
P15,3,9,1,0
P15,3,10,1,1
P15,9,0,1,0
P15,9,1,1,1
P15,9,2,1,1
P15,9,3,0,0
P15,9,4,0,1
P15,9,5,1,1
P15,9,6,1,1
P15,9,7,1,0
P15,9,8,1,1
P15,9,9,1,0
P15,9,10,1,1
P15,9,11,1,0
P15,9,12,1,0
P15,9,13,1,0
P15,9,14,1,1
P15,9,15,1,1
P16,2,0,1,1
P16,2,1,1,0
P16,2,2,1,1
P16,2,3,1,1
P16,2,4,1,1
P16,2,5,1,0
P16,2,6,1,1
P16,2,7,1,0
P16,2,8,0,0
P16,2,9,1,1
P16,10,0,0,0
P16,10,1,1,1
P16,10,2,0,1
P16,10,3,1,0
P16,10,4,1,0
P16,10,5,1,1
P16,10,6,1,1
P16,10,7,1,1
P17,8,0,1,1
P17,8,1,1,0
P17,8,2,1,0
P17,8,3,1,1
P17,8,4,1,1
P17,8,5,1,1
P17,8,6,1,0
P17,8,7,1,1
P17,8,8,1,0
P17,8,9,1,0
P17,8,10,0,0
P17,4,0,1,1
P17,4,1,1,1
P17,4,2,1,1
P17,4,3,1,0
P17,4,4,1,0
P17,4,5,1,0
P17,4,6,1,0
P17,4,7,1,1
P17,4,8,1,1
P17,4,9,1,0
P18,7,0,1,1
P18,7,1,1,0
P18,7,2,1,1
P18,7,3,1,0
P18,7,4,1,0
P18,7,5,1,0
P18,7,6,1,0
P18,7,7,1,1
P18,7,8,1,1
P18,7,9,1,0
P18,7,10,1,1
P18,1,0,0,1
P18,1,1,1,1
P18,1,2,1,1
P18,1,3,1,0
P18,1,4,1,0
P18,1,5,0,0
P18,1,6,0,0
P19,5,0,1,0
P19,5,1,1,1
P19,5,2,1,1
P19,5,3,1,0
P19,5,4,1,0
P19,5,5,1,1
P19,5,6,1,1
P19,5,7,1,0
P19,5,8,1,0
P19,5,9,1,1
P19,8,0,1,1
P19,8,1,0,0
P19,8,2,1,1
P19,8,3,1,0
P19,8,4,1,1
P19,8,5,1,0
P19,8,6,1,0
P20,10,0,1,1
P20,10,1,1,1
P20,10,2,1,1
P20,10,3,1,0
P20,10,4,1,0
P20,10,5,0,0
P20,10,6,1,1
P20,10,7,1,0
P20,10,8,1,0
P20,10,9,1,1
P20,3,0,1,1
P20,3,1,1,1
P20,3,2,1,0
P20,3,3,1,1
P20,3,4,1,0
P20,3,5,1,0
